,key,val,val
0,Giáo dục Thể chất,7140206,7140206
1,Kế toán,7340301,7340301
2,Công nghệ thông tin,7480201,7480201
3,Công nghệ kỹ thuật nhiệt,7510206,7510206
4,"Công nghệ kỹ thuật điện, điện tử",7510301,7510301
5,Công nghệ kỹ thuật điều khiển và tự động hóa,7510303,7510303
6,Công nghệ kỹ thuật hoá học,7510401,7510401
7,Quản lý công nghiệp,7510601,7510601
8,Công nghệ thực phẩm,7540101,7540101
9,Quản trị dịch vụ du lịch và lữ hành,7810103,7810103
10,Quản trị khách sạn,7810201,7810201
11,Công nghệ kỹ thuật cơ khí,7510201,7510201
12,Chính trị học,QHX02,QHX02
13,Quản lý nhà nước,7310205,7310205
14,Quản trị kinh doanh,7340101,7340101
15,Tài chính – Ngân hàng,7340201,7340201
16,Luật kinh tế,7380107_C,7380107_C
17,Công nghệ kỹ thuật xây dựng,7510103,7510103
18,Thú y,7640101,7640101
19,Điều dưỡng,7720301,7720301
20,Dinh dưỡng,7720401,7720401
21,Quản lý đất đai,7850103,7850103
22,Y học cổ truyền,7720115,7720115
23,Dược học,7720201,7720201
24,Sư phạm Tiếng Anh,7140231,7140231
25,Sư phạm Tiếng Pháp,7140233,7140233
26,Sư phạm Tiếng Trung Quốc,7140234,7140234
27,Ngôn ngữ Anh,7220201,7220201
28,Ngôn ngữ Anh CLC,7220201C,7220201C
29,Ngôn ngữ Nga,7220202,7220202
30,Ngôn ngữ Pháp,7220203,7220203
31,Ngôn ngữ Trung Quốc,7220204,7220204
32,Ngôn ngữ Trung Quốc CLC,7220204CLC,7220204CLC
33,Ngôn ngữ Nhật,7220209,7220209
34,Ngôn ngữ Nhật CLC,7220209CLC,7220209CLC
35,Ngôn ngữ Hàn Quốc,7220210,7220210
36,Ngôn ngữ Hàn Quốc CLC,7220210CLC,7220210CLC
37,Ngôn ngữ Thái Lan,7220214,7220214
38,Quốc tế học,QHX18,QHX18
39,Quốc tế học CLC,7310601CLC,7310601CLC
40,Đông phương học,QHX05,QHX05
41,Sư phạm tiếng Anh,7140231,7140231
42,Sư phạm tiếng Pháp,7140233,7140233
43,Sư phạm tiếng Trung,7140234,7140234
44,Ngôn ngữ Anh (Chất lượng cao),7220201CLC,7220201CLC
45,Quốc tế học (Chất lượng cao),7310601CLC,7310601CLC
46,Ngôn ngữ Nhật (Chất lượng cao),7220209CLC,7220209CLC
